subject,body,links,label
URGENT: Your account will be suspended,"Dear customer, your account will be suspended in 24 hours. Click here to verify: http://phishing.com",http://phishing.com,1
Verify Your PayPal Account Immediately,We noticed unusual activity. Verify now: http://paypal-verify.com,http://paypal-verify.com,1
"You have won $1,000,000!!!",Congratulations! You are the lucky winner. Claim your prize now! http://bit.ly/prize,http://bit.ly/prize,1
Security Alert: New Login,"A new device logged into your account. If this wasn't you, click here: http://secure-alert.com",http://secure-alert.com,1
Your Netflix Account Is On Hold,We couldn't charge your card. Update payment: http://netflix-billing.com,http://netflix-billing.com,1
Your Amazon Order Confirmation,Thank you for your order. Your package will arrive tomorrow.,,0
Weekly Team Meeting,Please join us for the weekly sync at 2pm.,,0
Newsletter: This Week in Tech,Here are the top stories from this week.,https://technews.com/story1|https://technews.com/story2,0
Project Update,The project is on schedule for Friday's deadline.,,0
Lunch Menu,Check out this week's cafeteria menu.,,0
